match_id,home_team,away_team,st_home,goals_home,corners_home,st_away,goals_away,corners_away,st_avg,corners_avg,goals_avg,st_kpp,corner_kpp,goals_kpp,which_team,st_kpp_home,st_kpp_away,goals_kpp_home,goals_kpp_away,corner_kpp_home,corner_kpp_away,modified_result,final_result,home_kpp_score,away_kpp_score,normalized_home_kpp_score,normalized_away_kpp_score
61,Hull,Crystal Palace,0.5,1,0.461538462,0.5,0,0.538461539,0.5,0.461538462,1,0.451515152,0.278943279,0.444444444,Hull,0.451515152,0.563492064,0.444444444,0.7,0.278943279,0.375,1,1,1.174902875,1.638492064,0.417610360604974,0.582389639395026
62,Leicester,Burnley,0.6,0.5,0.75,0.4,0.5,0.25,0.6,0.75,0.5,0.280952381,0.340277778,0.541666667,Leicester,0.280952381,0.416666667,0.541666667,0.333333333,0.340277778,0.5,0,0,1.162896826,1.25,0.481950497621484,0.518049502378516
63,Liverpool,West Brom,0.636363636,0.666666667,0.5,0.363636364,0.333333333,0.5,0.363636364,0.5,0.333333333,0.583333333,0.723611111,0.666666667,West Brom,0.510683761,0.583333333,0.25,0.666666667,0.585042735,0.723611111,1,1,1.345726496,1.973611111,0.405420193824834,0.594579806175166
64,Sunderland,Stoke,0.375,0.75,0.636363636,0.625,0.25,0.363636364,0.625,0.363636364,0.25,0.664814815,0.356691919,0.5,Stoke,0.464285714,0.664814815,0.5,0.5,0.525252525,0.356691919,1,1,1.489538239,1.521506734,0.494691461720655,0.505308538279345
65,Swansea,Newcastle,0.555555556,0.5,0.75,0.444444444,0.5,0.25,0.555555556,0.75,0.5,0.255050505,0.262626263,0.277777778,Swansea,0.255050505,0.437878788,0.277777778,0.166666667,0.262626263,0.666666667,0,0,0.795454546,1.271212122,0.384897360719421,0.615102639280579
66,Chelsea,Arsenal,1,1,0.5,0,0,0.5,0,0.5,0,0.542857143,0.416666667,0.666666667,Arsenal,0.68013468,0.542857143,0.722222222,0.666666667,0.526515152,0.416666667,1,1,1.928872054,1.626190477,0.54257049972548,0.45742950027452
67,Man United,Everton,0.4,0.666666667,0.647058824,0.6,0.333333333,0.352941177,0.6,0.352941177,0.333333333,0.644444445,0.591666667,0.577777778,Everton,0.582251082,0.644444445,0.680555556,0.577777778,0.609477124,0.591666667,1,1,1.872283762,1.81388889,0.507920799907231,0.492079200092769
68,Tottenham,Southampton,0.571428571,1,0.666666667,0.428571429,0,0.333333333,0.571428571,0.666666667,1,0.485714286,0.4375,0.333333333,Tottenham,0.485714286,0.707070707,0.333333333,0.888888889,0.4375,0.611111111,1,1,1.256547619,2.207070707,0.362784666418814,0.637215333581186
69,West Ham,QPR,0.5,1,0.583333333,0.5,0,0.416666667,0.5,0.416666667,0,0.306397306,0.497474748,0.277777778,QPR,0.518253968,0.306397306,0.527777778,0.277777778,0.646933132,0.497474748,1,1,1.692964878,1.081649832,0.61016215040538,0.38983784959462
70,Arsenal,Hull,0.692307692,0.5,1,0.307692308,0.5,0,0.307692308,0,0.5,0.418181818,0.355866356,0.611111111,Hull,0.4,0.418181818,0.5,0.611111111,0.583333333,0.355866356,0,0,1.483333333,1.385159285,0.517112480503514,0.482887519496486
71,Burnley,West Ham,0.333333333,0.25,0.416666667,0.666666667,0.75,0.583333333,0.333333333,0.416666667,0.25,0.383333333,0.416666667,0.333333333,Burnley,0.383333333,0.551587302,0.333333333,0.694444444,0.416666667,0.58496732,0,-1,1.133333333,1.830999066,0.382323295924008,0.617676704075993
